Jahr,Bilanzsumme,Anlagevermoegen,Umlaufvermoegen,Vorräte,Forderungen,Kassenbestand,Eigenkapital,Rueckstellungen,Verbindlichkeiten,Mitarbeiter
2021, 44524251 € , 26951300 € , 9997078 € , 1086499 € , 4824186 € , 4086393 € , 119700 € , 2501500 € , 41903051 € , 10
2022, 57779286 € , 27045800 € , 30552275 € , 3988131 € , 11617400 € , 14946744 € , 495300 € , 3630100 € , 53653886 € ,66
2023, 61688321 € , 31021400 € , 29704865 € , 7549818 € , 13572793 € , 8582254 € ,-402800 € , 8333600 € , 53757521 € ,92
